X,Y,1,2,3,4,5,6,7,8
657625.2,3435311.5,312,245,312,245,126,572,700,665
657638,3435312.3,312,245,309,247,128,550,658,631
657626.7,3435311.5,314,246,309,243,126,554,692,654
657611.7,3435311.2,308,241,310,246,126,582,714,668
657599.6,3435310.8,310,244,298,244,132,529,592,609
657609.8,3435311.2,310,241,315,255,126,606,711,674
657623,3435310.8,312,244,308,248,128,584,703,659
657635.8,3435310.8,309,243,309,250,126,556,664,640
657641.3,3435307.5,314,242,306,251,128,551,653,628
657630,3435307.1,313,247,310,249,127,560,682,654
657618.6,3435306.8,314,244,318,251,126,585,716,680
657603.6,3435306.4,309,243,310,255,127,569,702,679
657593.7,3435306.4,309,244,304,239,127,522,685,635
657598.5,3435301.3,309,241,313,250,126,574,695,662
657612.4,3435300.5,316,244,304,250,126,541,645,600
657628.1,3435302.7,316,247,315,252,124,585,698,663
657642.8,3435303.1,311,247,310,248,129,557,685,644
657643.5,3435292.9,317,245,307,241,125,539,659,625
657634.7,3435292.5,311,241,301,245,125,542,650,618
657623.4,3435292.1,311,244,315,253,124,593,697,665
657610.9,3435292.1,312,248,322,251,125,600,726,682
657601,3435292.1,310,242,315,259,131,592,716,678
657595.2,3435286.3,314,242,313,252,124,605,719,684
657606.2,3435287,311,244,319,256,128,612,734,683
657598.1,3435280,312,242,307,246,119,551,668,643
657610.9,3435279.3,314,245,307,255,128,571,686,659
657622.3,3435279,315,242,300,245,120,543,631,619
657635.4,3435278.6,313,245,304,244,132,540,681,639
657642.8,3435276.4,311,243,304,245,125,536,634,589
657602.9,3435266.1,314,245,301,247,129,529,623,604
657613.5,3435266.5,313,241,313,251,126,585,718,689
657629.6,3435266.1,313,243,307,252,129,548,639,625
657642.8,3435266.1,311,241,315,250,123,561,670,643
657643.5,3435260.7,315,243,313,255,124,598,714,680
657654.8,3435260.3,314,244,306,249,125,564,684,653
657663.3,3435259.9,312,242,292,239,127,491,607,585
657668.7,3435254.4,315,245,291,236,122,504,628,604
657668.7,3435248.9,311,244,294,236,121,492,616,583
657658.9,3435248.6,312,242,298,241,125,510,619,611
657649.4,3435248.2,315,249,300,243,125,519,654,621
657642.8,3435247.8,311,243,296,248,126,503,600,577
657678.2,3435375,310,250,290,241,130,459,559,547
657682.7,3435366.8,310,245,285,232,129,451,566,544
657684.8,3435256.5,313,245,287,236,124,465,589,568
657685.6,3435347,310,246,293,240,129,500,605,597
657674.1,3435346.2,315,244,290,236,123,492,612,594
657663.4,3435346.2,314,247,284,233,128,454,586,556
657653.9,3435344.5,315,247,284,234,127,461,563,561
657653.9,3435339.2,312,242,284,236,124,484,613,574
657667.1,3435339.2,316,242,283,228,123,472,583,565
657679.9,3435337.5,311,251,296,238,122,505,639,619
657685.2,3435330.1,314,247,294,244,131,509,621,592
657685.2,3435323.5,314,246,294,238,129,522,641,622
657664.2,3435315.7,311,246,297,241,129,523,646,634
657673.3,3435315.3,317,246,294,245,125,516,637,627
657681.9,3435314.9,318,247,297,237,130,534,682,663
657685.6,3435307.1,312,245,300,240,125,551,705,678
657685.6,3435297.6,318,246,290,241,123,532,682,662
657675.7,3435294.7,315,246,292,236,128,521,659,635
657672,3435286.4,313,245,296,240,131,526,640,620
657674.5,3435284.4,318,250,293,240,127,521,667,626
657677.4,3435276.6,317,245,294,238,125,480,590,567
657679.4,3435268.4,316,247,293,237,126,476,577,558
657685.2,3435267.1,311,246,288,239,126,493,599,576
657683.2,3435262.2,311,246,290,241,125,516,641,607
657685.2,3435256.4,316,245,286,238,125,477,583,561
657686,3435250.3,315,245,281,233,122,444,550,523
