X,Y,1,2,3,4,5,6,7,8
657198.9,3435309.6,296,224,228,178,96,239,268,259
657189.6,3435309.1,304,228,230,188,98,311,312,342
657139.9,3435323.7,296,223,219,172,89,212,217,204
657159.2,3435322.2,304,228,240,196,100,317,320,352
657156.8,3435314.6,294,225,221,176,95,228,216,238
657171.5,34353.4.7,302,224,227,181,95,285,344,346
657145.2,3435302.9,299,225,229,187,96,285,317,333
657139.6,3435305.3,301,226,223,175,95,264,291,319
657089,3435350.9,302,224,221,177,91,211,211,202
657112.7,3435351.2,296,222,221,178,91,214,231,208
657119.1,3435344.7,301,224,225,180,91,226,245,227
657115,3435339.5,296,226,221,170,96,225,216,221
657103.6,3435339.8,299,221,219,173,90,214,221,214
657095.5,3435334.2,295,223,224,177,96,225,243,222
657086.1,3435336.5,297,223,224,174,88,216,231,217
657089.6,3435328.4,304,229,224,182,93,248,239,235
657099.3,3435324.8,297,225,227,191,97,286,329,339
657055.4,3435350,304,230,229,181,101,272,286,288
657099.6,3435404.4,302,227,243,194,104,305,362,353
657111.2,3435403.8,294,222,229,181,92,261,283,259
657296.2,3435390.9,296,221,225,185,97,253,254,272
657119.7,3435379.2,297,227,226,179,92,238,243,235
657125,3435430.7,299,226,222,177,89,253,253,283
657132.9,3435424.2,300,224,231,196,96,302,295,298
657138.4,3435419,298,221,225,177,93,226,243,236
657130,3435417.2,298,227,236,189,101,305,315,320
657153.3,3435476.6,299,222,222,171,87,261,242,243
657165.8,3435466.9,298,220,226,186,91,285,276,263
657143.3,3435466.9,299,223,228,180,96,254,255,254
657153,3435463.1,294,226,221,178,94,260,274,264
657171.7,3435462.4,292,219,218,169,91,228,223,220
657173.4,3435453.1,300,219,224,181,95,264,265,267
657164.7,3435449.3,296,219,222,169,93,231,262,238
657154,3435447.2,297,223,225,171,95,228,227,225
657142.6,3435444.4,298,224,225,180,89,258,253,270
657106.8,3435170.8,294,227,233,184,100,268,257,267
657116.5,3435470.8,299,226,235,181,95,291,302,294
657134.8,3435471.1,299,225,219,182,89,267,229,247
657123,3435464.9,293,223,220,170,91,230,237,213
657109.7,3435464.9,299,220,223,171,89,213,235,232
657105.9,3435455.5,299,222,221,169,89,228,233,234
657120.3,3435456.3,303,222,221,175,91,214,237,240
657111.2,3435446.6,302,224,222,179,89,219,223,226
657155.7,3435492.9,297,216,225,173,92,230,243,203
657165.7,3435491.7,301,217,217,169,91,245,227,256
657153.3,3435484.9,290,223,216,172,90,204,215,205
657166.9,3435484,296,216,221,174,85,235,236,239
657176.9,3435486.4,297,221,218,187,91,241,216,244
657180.1,3435479.3,294,218,217,172,92,202,195,190
657166.6,3435466.6,302,224,224,185,93,317,336,322
657130.3,3435514.4,293,223,228,179,92,253,252,251
657157.7,3435512.6,300,220,216,169,91,201,203,184
657154.8,3435493.2,297,216,225,173,92,230,243,203
657143.9,3435532.6,300,226,237,191,102,321,402,414
657140.7,3435541.5,296,225,233,183,98,320,365,350
657143.9,3435532.3,300,226,237,191,102,321,402,414
657120,3435532.3,294,220,223,176,93,281,279,324
657137.1,3435593.3,295,223,226,175,92,238,284,253
657148.9,3435589.2,296,225,228,176,95,243,289,279
657157.1,3435588,294,227,227,176,99,221,284,258
657149.5,3435585.6,297,218,220,176,90,262,260,280
657153.9,3435576.5,301,223,225,173,90,253,279,295
657151,3435570.6,295,216,220,174,85,225,224,237
657126.2,3435578.6,295,221,221,182,89,248,263,266
657057,3435611.6,300,229,235,191,99,287,314,316
657053.5,3435603.3,298,223,234,180,97,271,302,309
657070.8,3435605.4,297,225,236,195,96,348,375,370
657085.3,3435608.6,302,227,230,182,93,282,322,320
657084.4,3435600.7,296,224,219,178,93,235,241,247
657074.7,3435598.9,300,221,226,188,94,304,310,344
657059.1,3435594.8,304,234,236,201,108,314,326,232
657052.3,3435583.6,299,225,233,183,94,293,322,325
657000.7,3435554.7,304,229,231,182,99,253,305,270
657024,3435555,297,232,233,186,98,255,309,324
657025.5,3435542.6,298,228,238,185,98,285,306,320
657016.9,3435541.2,299,223,228,181,98,263,316,297
657006,3435540.6,301,227,238,190,103,279,323,309
657991.9,3435532.6,304,228,233,182,98,257,266,280
657004.6,3435532,302,225,226,179,96,259,286,288
